playlist_uri,playlist_name
spotify:playlist:00kEOANOLMZ5SvzfL5EYOc,Hip Hop Gospel
spotify:playlist:00KfinWYjcHJpLX4Trv1tk,EDM Running (180+ BPM)
spotify:playlist:00L9Fq1fvpmCk6pjEkh1vZ,Hip Hop Party 2022 - Best Hip Hop Club Music 2022 (Top Hip Hop Party Songs 2022)
spotify:playlist:00qrX0Ex3Pv0Q5QPlequr6,DEEP HOUSE YOGA
spotify:playlist:00rW0TVeIbcXSjAixLLyQA,"Hello, this is me"
spotify:playlist:00uEVoiCYw2Nfqz0X3ZilQ,Karaoke - Country Hits
spotify:playlist:00W0RiXu7l1eMS2DveWXhh,Hip Hop Jazz Covers
spotify:playlist:00w5pKdc3F8soaYWFahMZN,Hype Country
spotify:playlist:00wHFIu00pH4CJWPV4vJwA,sad lofi hip hop beats to cry to
spotify:playlist:00XGRvJDlAocAFg6qiDLie,Deep House Covers ?? Chill Remixes 2022 
spotify:playlist:00yiUsYVS0W2f23JOHzzjR,90er Pop Hits
spotify:playlist:014vY40mh7KcAnCsCwEJVo,Sad Pop
spotify:playlist:01clVI1RPrF8zHMxrqVIs0,2020 top rap and hiphop hits 2022
spotify:playlist:01dIXaJuywHeWA34oob65p,Pop 23
spotify:playlist:01GTR7ScucOOr3N8QXWg7W,This Is Bangers Only
spotify:playlist:01GvrMMmWCbE8oaMjdD5mx,This is fabian please leave a msg after the beep
spotify:playlist:01pNIDYGqmeawppy32wr3D,2000's Hip Hop
spotify:playlist:01pqzU5VlGVxvfULmWEOgj,so this is xmas
spotify:playlist:01PXs9AOFioK0XlzP8gg1c,Relaxed Hip Hop
spotify:playlist:01qjf7ksX49WAU1eEZry3z,Rap Hip Hop FR Année 2010
spotify:playlist:01yzVAIdPTW08vy1x7SAmW,2015 Hip Hop Hits
spotify:playlist:020kRSwgw3NRkdA4t2ARKa,This is my therapy x
spotify:playlist:0216A3YrhnUxvjaA9dfLb2,Early 2000 Workout Jams
spotify:playlist:02Bki2uDNpgLhONQ7iRYme,So This Is Xmas 
